4	19864	0
4	1020775	1
4	2019834	0
4	3020736	1
4	4019770	0
4	5020670	1
4	6019739	0
4	7020636	1
4	8019670	0
4	9020576	1
4	10019570	0
4	11020538	1
4	12019584	0
4	13020501	1
4	14019535	0
4	15020435	1
4	16019485	0
4	17020354	1
4	18019435	0
4	19020336	1
4	20019377	0
4	21020279	1
4	22019339	0
4	23020235	1
4	24019257	0
4	25020178	1
4	26019160	0
4	27020137	1
4	28019189	0
4	29020100	1
4	30019135	0
4	31020046	1
4	32019072	0
4	33019978	1
4	34019036	0
4	35019936	1
4	36018986	0
4	37019885	1
4	38018939	0
4	39019834	1
4	40018857	0
4	41019789	1
4	42018767	0
4	43019749	1
4	44018787	0
4	45019708	1
4	46018741	0
4	47019635	1
4	48018693	0
4	49019588	1
4	50018635	0
4	51019541	1
4	52018574	0
4	53019487	1
4	54018539	0
4	55019434	1
4	56018464	0
4	57019403	1
4	58018370	0
4	59019338	1
